Energy(MeV)	AbsEff (%)	PhotopeakEff(%)
0.662	0.9693	0.368
1.162	0.933	0.2858
1.662	0.9112	0.2462
2.162	0.8875	0.207
2.662	0.8758	0.1937
3.162	0.8738	0.1708
3.662	0.8746	0.1597
4.162	0.88	0.1494
4.662	0.8786	0.1425
5.162	0.8741	0.1376
5.662	0.8872	0.133
6.162	0.8861	0.1298
6.662	0.8886	0.123
7.162	0.8975	0.12
7.662	0.8961	0.125
8.162	0.9067	0.1212
8.662	0.9131	0.1208
9.162	0.9122	0.124
9.662	0.9208	0.1158
10.162	0.9235	0.1213
10.662	0.9255	0.1176
11.162	0.939	0.1192
11.662	0.9243	0.1119
12.162	0.9348	0.1173
12.662	0.9408	0.1146
13.162	0.946	0.1151
13.662	0.9486	0.1121
14.162	0.9456	0.1085
14.662	0.9523	0.1109
15.162	0.9563	0.1092
15.662	0.9631	0.1047
16.162	0.9613	0.1011
16.662	0.9657	0.099
17.162	0.9624	0.1037
17.662	0.9656	0.1008
18.162	0.963	0.0948
18.662	0.9683	0.0954
19.162	0.9692	0.0953
19.662	0.962	0.0899
