Energy(MeV) AbsEff (%)	PhotopeakEff(%)
0.662	0.9693	0.5516
1.162	0.933	0.4223
1.662	0.9112	0.3645
2.162	0.8875	0.3197
2.662	0.8758	0.3005
3.162	0.8738	0.2801
3.662	0.8746	0.2745
4.162	0.88	0.2674
4.662	0.8786	0.2668
5.162	0.8741	0.2781
5.662	0.8872	0.2895
6.162	0.8861	0.2982
6.662	0.8886	0.2991
7.162	0.8975	0.2995
7.662	0.8961	0.3114
8.162	0.9067	0.3166
8.662	0.9131	0.32
9.162	0.9122	0.3272
9.662	0.9208	0.3213
10.162	0.9235	0.32
10.662	0.9255	0.3209
11.162	0.939	0.3242
11.662	0.9243	0.3123
12.162	0.9348	0.3191
12.662	0.9408	0.3192
13.162	0.946	0.313
13.662	0.9486	0.3057
14.162	0.9456	0.2936
14.662	0.9523	0.298
15.162	0.9563	0.2978
15.662	0.9631	0.2909
16.162	0.9613	0.2853
16.662	0.9657	0.2823
17.162	0.9624	0.2743
17.662	0.9656	0.2734
18.162	0.963	0.2629
18.662	0.9683	0.2668
19.162	0.9692	0.2703
19.662	0.962	0.2557
